Subzone,Total,20 - 24,25 - 29,30 - 34,35 - 39,20-39
Total,174770.00,10310.00,11170.00,12250.00,13070.00,46800.00
Ang Mo Kio Town Centre,5020.00,260.00,310.00,370.00,420.00,1360.00
Cheng San,29770.00,1570.00,1830.00,2490.00,2490.00,8380.00
Chong Boon,27900.00,1520.00,1800.00,1980.00,2100.00,7400.00
Kebun Bahru,23910.00,1380.00,1490.00,1570.00,1730.00,6170.00
Sembawang Hills,6890.00,550.00,450.00,310.00,320.00,1630.00
Shangri-La,18510.00,1120.00,1170.00,1290.00,1240.00,4820.00
Tagore,8350.00,740.00,650.00,420.00,480.00,2290.00
Townsville,23770.00,1230.00,1480.00,1750.00,2070.00,6530.00
Yio Chu Kang,30.00,-,-,-,-,0.00
Yio Chu Kang East,4080.00,340.00,290.00,240.00,230.00,1100.00
Yio Chu Kang North,-,-,-,-,-,0.00
Yio Chu Kang West,26550.00,1610.00,1710.00,1830.00,1990.00,7140.00
Total,289750.00,19450.00,19860.00,19270.00,20850.00,79430.00
Bayshore,7480.00,340.00,320.00,490.00,750.00,1900.00
Bedok North,85930.00,5690.00,5600.00,5850.00,6260.00,23400.00
Bedok Reservoir,25400.00,1540.00,1830.00,1880.00,2090.00,7340.00
Bedok South,51190.00,3380.00,3510.00,3200.00,3370.00,13460.00
Frankel,33570.00,2040.00,1910.00,2000.00,2710.00,8660.00
Kaki Bukit,40820.00,3320.00,3410.00,2790.00,2670.00,12190.00
Kembangan,38440.00,2650.00,2860.00,2710.00,2530.00,10750.00
Siglap,6930.00,490.00,430.00,350.00,480.00,1750.00
Total,90700.00,6860.00,6460.00,5720.00,6000.00,25040.00
Bishan East,28820.00,2080.00,2390.00,1990.00,2010.00,8470.00
Marymount,31540.00,2630.00,2110.00,2060.00,2230.00,9030.00
Upper Thomson,30340.00,2150.00,1970.00,1670.00,1760.00,7550.00
Total,30.00,-,-,-,-,0.00
Liu Fang,10.00,-,-,-,-,0.00
Samulun,10.00,-,-,-,-,0.00
Shipyard,-,-,-,-,-,0.00
Tukang,10.00,-,-,-,-,0.00
Total,139270.00,10070.00,10460.00,9760.00,9940.00,40230.00
Brickworks,-,-,-,-,-,0.00
Bukit Batok Central,26060.00,1750.00,2110.00,1860.00,1840.00,7560.00
Bukit Batok East,14570.00,990.00,1180.00,1100.00,1050.00,4320.00
Bukit Batok South,13940.00,1210.00,1090.00,980.00,900.00,4180.00
Bukit Batok West,15190.00,1000.00,1120.00,1110.00,1140.00,4370.00
Gombak,9820.00,600.00,600.00,850.00,990.00,3040.00
Guilin,13130.00,880.00,930.00,960.00,1030.00,3800.00
Hillview,18220.00,1510.00,1100.00,870.00,1030.00,4510.00
Hong Kah North,28340.00,2150.00,2340.00,2030.00,1960.00,8480.00
Total,155840.00,7700.00,9340.00,11070.00,12840.00,40950.00
Alexandra Hill,15650.00,960.00,1020.00,980.00,960.00,3920.00
Alexandra North,1000.00,30.00,60.00,80.00,130.00,300.00
Bukit Ho Swee,16290.00,780.00,1040.00,1300.00,1150.00,4270.00
Bukit Merah,1190.00,60.00,80.00,70.00,80.00,290.00
City Terminals,40.00,-,-,-,-,0.00
Depot Road,5200.00,250.00,260.00,380.00,560.00,1450.00
Everton Park,9010.00,420.00,540.00,670.00,760.00,2390.00
Henderson Hill,12870.00,730.00,780.00,770.00,820.00,3100.00
Kampong Tiong Bahru,10460.00,530.00,640.00,660.00,680.00,2510.00
Maritime Square,2560.00,100.00,100.00,210.00,300.00,710.00
Redhill,12210.00,580.00,710.00,840.00,1310.00,3440.00
Singapore General Hospital,10.00,-,-,-,-,0.00
Telok Blangah Drive,16000.00,780.00,950.00,1140.00,1330.00,4200.00
Telok Blangah Rise,13820.00,770.00,860.00,880.00,1040.00,3550.00
Telok Blangah Way,10690.00,490.00,540.00,670.00,850.00,2550.00
Tiong Bahru,12190.00,440.00,780.00,1100.00,1310.00,3630.00
Tiong Bahru Station,16670.00,790.00,980.00,1310.00,1580.00,4660.00
Total,139030.00,10400.00,10980.00,10690.00,10010.00,42080.00
Bangkit,23800.00,1990.00,2000.00,1430.00,1440.00,6860.00
Dairy Farm,5390.00,420.00,380.00,290.00,340.00,1430.00
Fajar,26770.00,2060.00,2150.00,2320.00,2110.00,8640.00
Jelebu,33470.00,2780.00,2540.00,2030.00,2130.00,9480.00
Nature Reserve,3870.00,270.00,240.00,220.00,240.00,970.00
Saujana,25530.00,1780.00,2250.00,2380.00,1970.00,8380.00
Senja,20200.00,1110.00,1420.00,2020.00,1780.00,6330.00
Total,74470.00,4980.00,4310.00,3770.00,4940.00,18000.00
Anak Bukit,21990.00,1800.00,1550.00,1160.00,1300.00,5810.00
Coronation Road,6170.00,360.00,330.00,290.00,430.00,1410.00
Farrer Court,4680.00,230.00,230.00,290.00,390.00,1140.00
Hillcrest,8810.00,490.00,400.00,410.00,600.00,1900.00
Holland Road,10280.00,620.00,500.00,450.00,730.00,2300.00
Leedon Park,6260.00,390.00,340.00,360.00,450.00,1540.00
Swiss Club,5550.00,370.00,320.00,300.00,340.00,1330.00
Ulu Pandan,10730.00,720.00,640.00,520.00,700.00,2580.00
Total,10.00,-,-,-,-,0.00
Central Water Catchment,10.00,-,-,-,-,0.00
Total,2530.00,130.00,100.00,170.00,240.00,640.00
Changi Airport,-,-,-,-,-,0.00
Changi Point,790.00,40.00,40.00,30.00,50.00,160.00
Changi West,1740.00,90.00,70.00,140.00,190.00,490.00
Total,-,-,-,-,-,0.00
Changi Bay,-,-,-,-,-,0.00
Total,174330.00,15230.00,11940.00,11540.00,11960.00,50670.00
Choa Chu Kang Central,21400.00,1980.00,1500.00,1300.00,1490.00,6270.00
Choa Chu Kang North,34380.00,3290.00,2160.00,1870.00,1890.00,9210.00
Keat Hong,15660.00,1580.00,1060.00,950.00,1010.00,4600.00
Peng Siang,32130.00,2810.00,2420.00,2480.00,2180.00,9890.00
Teck Whye,27040.00,2500.00,2050.00,1790.00,1560.00,7900.00
Yew Tee,43710.00,3070.00,2750.00,3160.00,3830.00,12810.00
Total,91630.00,4850.00,5820.00,6630.00,7310.00,24610.00
Clementi Central,13490.00,700.00,780.00,1000.00,1110.00,3590.00
Clementi North,28730.00,1360.00,1850.00,2130.00,2310.00,7650.00
Clementi West,16470.00,890.00,1000.00,1240.00,1310.00,4440.00
Clementi Woods,16400.00,860.00,1160.00,1340.00,1310.00,4670.00
Faber,4320.00,290.00,290.00,200.00,310.00,1090.00
Pandan,10.00,-,-,-,-,0.00
Sunset Way,6290.00,410.00,460.00,380.00,400.00,1650.00
Toh Tuck,40.00,-,-,-,-,0.00
West Coast,5890.00,340.00,280.00,350.00,560.00,1530.00
Total,3720.00,140.00,210.00,330.00,370.00,1050.00
Anson,80.00,-,-,-,-,0.00
Bayfront Subzone,-,-,-,-,-,0.00
