Subzone N,Geometry,Latitude (generated),Longitude (generated),Four Rm,Three Rm
YUNNAN,POLYGON,1.342866007,103.695040265,33250,2420
YUHUA WEST,POLYGON,1.348293786,103.729288239,5510,4070
YUHUA EAST,POLYGON,1.340444343,103.738925405,7400,8780
YISHUN WEST,POLYGON,1.433211485,103.830359267,24720,20070
YISHUN SOUTH,POLYGON,1.418969731,103.838429287,19250,3650
YISHUN EAST,POLYGON,1.428103390,103.844092942,31950,6770
YISHUN CENTRAL,POLYGON,1.426564891,103.838468661,800,0
YIO CHU KANG WEST,POLYGON,1.380768359,103.838419353,5440,8020
YIO CHU KANG NORTH,POLYGON,1.394121158,103.847885371,0,0
YIO CHU KANG EAST,POLYGON,1.380527058,103.854140667,0,0
YIO CHU KANG,POLYGON,1.384325765,103.846632423,0,0
YEW TEE,POLYGON,1.400532547,103.749213822,16680,0
XILIN,POLYGON,1.321408873,103.970937276,0,0
WOODLEIGH,POLYGON,1.340886535,103.865923151,0,0
WOODLANDS WEST,POLYGON,1.438644444,103.777753892,11060,8930
WOODLANDS SOUTH,POLYGON,1.429615803,103.792232863,12820,590
WOODLANDS REGIONAL CENTRE,POLYGON,1.438373826,103.784158515,0,0
WOODLANDS EAST,POLYGON,1.441370859,103.799635542,46650,660
WOODGROVE,POLYGON,1.429852288,103.778624135,13650,2050
WESTERN WATER CATCHMENT,MULTIPOLYGON,1.392178621,103.671094117,0,0
WEST COAST,POLYGON,1.315318813,103.756947886,0,0
WENYA,POLYGON,1.355259027,103.708561347,3360,0
WATERWAY EAST,POLYGON,1.400744592,103.913899802,19930,3690
VICTORIA,POLYGON,1.299269770,103.852593391,570,1200
UPPER THOMSON,POLYGON,1.353684445,103.832505559,4290,3300
UPPER PAYA LEBAR,POLYGON,1.345386472,103.877702587,5120,1620
ULU PANDAN,POLYGON,1.314587169,103.785092147,0,0
TYERSALL,POLYGON,1.314638306,103.812876376,210,40
TURF CLUB,POLYGON,1.423851459,103.766057470,0,0
TUKANG,POLYGON,1.327479430,103.711599764,0,0
TUAS VIEW EXTENSION,MULTIPOLYGON,1.272217672,103.628636669,0,0
TUAS VIEW,POLYGON,1.303129854,103.632588482,0,0
TUAS PROMENADE,POLYGON,1.338211867,103.633652242,0,0
TUAS NORTH,POLYGON,1.324510861,103.654762510,0,0
TUAS BAY,POLYGON,1.312245106,103.648097569,0,0
TRAFALGAR,POLYGON,1.381346713,103.879813711,17360,890
TOWNSVILLE,POLYGON,1.365793438,103.847540699,10380,7160
TOH TUCK,POLYGON,1.329150252,103.756289748,0,0
TOH GUAN,POLYGON,1.336616563,103.745846214,5930,660
TOA PAYOH WEST,POLYGON,1.340271611,103.841105906,940,7300
TOA PAYOH CENTRAL,POLYGON,1.332174955,103.847253015,11670,5230
TIONG BAHRU STATION,POLYGON,1.284868876,103.827705749,7460,800
TIONG BAHRU,POLYGON,1.284205374,103.832268220,6410,3000
THE WHARVES,POLYGON,1.465753957,103.823177166,0,0
TENGEH,POLYGON,1.339588179,103.651217233,0,0
TENGAH,POLYGON,1.360551984,103.730804431,0,0
TELOK BLANGAH WAY,POLYGON,1.277088124,103.820011729,1710,4890
TELOK BLANGAH RISE,POLYGON,1.272698080,103.822973166,5830,4500
